"","course_dept","full_term","college","teach_ge_n","teach_ge_fte","mean_credit","total_credit"
"96","Philosophy",201802,"College of Arts & Sciences",4867,0.439354838709677,31.7898089171975,154721
"97","Philosophy",201803,"College of Arts & Sciences",4587,0.413030303030303,35.8992805755396,164670
"98","Physics",201801,"College of Arts & Sciences",9150,0.372,41.7103825136612,381650
"99","Physics",201802,"College of Arts & Sciences",7584,0.375,49.8987341772152,378432
"100","Physics",201803,"College of Arts & Sciences",7548,0.377450980392157,45.7364864864865,345219
"101","Political Science",201801,"College of Arts & Sciences",5075,0.434137931034483,38.0171428571429,192937
"102","Political Science",201802,"College of Arts & Sciences",5829,0.431034482758621,35.7164179104478,208191
"103","Political Science",201803,"College of Arts & Sciences",4455,0.43,40.5878787878788,180819
"104","Psychology",201801,"College of Arts & Sciences",9568,0.476630434782609,59.9759615384615,573850
"105","Psychology",201802,"College of Arts & Sciences",10400,0.4753,66.0192307692308,686600
"106","Psychology",201803,"College of Arts & Sciences",11067,0.465980392156863,64.7603686635945,716703
"107","Romance Languages",201801,"College of Arts & Sciences",23222,0.49,14.6339677891654,339830
"108","Romance Languages",201802,"College of Arts & Sciences",22080,0.49,14.6057971014493,322496
"109","Romance Languages",201803,"College of Arts & Sciences",21284,0.49,13.426517571885,285770
"110","Russian, East European, & Eurasian Studies",201801,"College of Arts & Sciences",228,0.49,11.7543859649123,2680
"111","Russian, East European, & Eurasian Studies",201802,"College of Arts & Sciences",208,0.49,9.71153846153846,2020
"112","Russian, East European, & Eurasian Studies",201803,"College of Arts & Sciences",204,0.49,11.4705882352941,2340
"113","Sociology",201801,"College of Arts & Sciences",5146,0.484516129032258,48.6867469879518,250542
"114","Sociology",201802,"College of Arts & Sciences",4727,0.465172413793103,50.8220858895706,240236
"115","Sociology",201803,"College of Arts & Sciences",5792,0.4521875,43.8121546961326,253760
"116","Special Education & Clinical Sciences",201801,"College of Education",4648,0.483571428571429,32.0120481927711,148792
"117","Special Education & Clinical Sciences",201802,"College of Education",4648,0.483571428571429,28.3433734939759,131740
"118","Special Education & Clinical Sciences",201803,"College of Education",4844,0.483571428571429,28.5838150289017,138460
"119","Theatre Arts",201801,"College of Arts & Sciences",828,0.47,11.7282608695652,9711
"120","Theatre Arts",201802,"College of Arts & Sciences",1017,0.47,9.65486725663717,9819
"121","Theatre Arts",201803,"College of Arts & Sciences",828,0.45,7.8804347826087,6525
